train_number,date,sequence,is_origin,is_destination,station_code,station_name,scheduled_arrival_minutes,scheduled_departure_minutes,dwell_time_scheduled_mins,inter_station_scheduled_mins,platform_num,day_of_week,scheduled_hour,scheduled_departure_hour,delay_arrival_minutes,prev_delay_arrival,prev_delay_departure,delay_trend,journey_max_delay_so_far,journey_avg_delay_so_far,remaining_stations_count,remaining_scheduled_mins,next_delay,target_delay_delta
10000,2024-01-15,1,1,0,JP,JP Station,182,184.19575984973147,2.1957598497314663,0.0,7,0,3,3,13,0,0,0,13,13,10,1365,8.0,-5.0
10000,2024-01-15,2,0,0,MUMBAI,MUMBAI Station,1420,1421.6208636486492,1.6208636486492953,120.99868810035079,9,0,23,23,8,13,13,13,13,13,9,127,5.0,-3.0
10000,2024-01-15,3,0,0,BSL,BSL Station,922,923.6717314392567,1.671731439256727,127.44638234641441,9,0,15,15,5,8,8,-5,13,10,8,625,0.0,-5.0
10000,2024-01-15,4,0,0,HDP,HDP Station,719,722.0942368995998,3.0942368995997738,100.03192730692345,3,0,11,11,0,5,5,-3,13,8,7,828,6.0,6.0
10000,2024-01-15,5,0,0,AK,AK Station,75,76.7300784647028,1.730078464702805,102.3528169102229,8,0,1,1,6,0,0,-5,13,6,6,32,0.0,-6.0
10000,2024-01-15,6,0,0,NGP,NGP Station,457,461.2809966797424,4.280996679742351,125.77187714650924,2,0,7,7,0,6,6,6,13,6,5,1090,3.0,3.0
10000,2024-01-15,7,0,0,BPL,BPL Station,1174,1175.3590893863973,1.3590893863972893,66.17393005594703,1,0,19,19,3,0,0,-6,13,5,4,373,0.0,-3.0
10000,2024-01-15,8,0,0,MAS,MAS Station,1280,1282.3062097096974,2.306209709697372,67.75005291341104,3,0,21,21,0,3,3,3,13,5,3,267,0.0,0.0
10000,2024-01-15,9,0,0,PUNE,PUNE Station,1434,1438.6573923276753,4.657392327675224,100.79218403167332,3,0,23,23,0,0,0,-3,13,4,2,113,0.0,0.0
10001,2024-01-16,1,1,0,MAS,MAS Station,59,61.321306651483,2.3213066514829963,0.0,5,1,0,0,11,0,0,0,11,11,7,1198,11.0,0.0
10001,2024-01-16,2,0,0,JP,JP Station,922,924.8331940002846,2.8331940002845966,55.01861131656773,3,1,15,15,11,11,11,11,11,11,6,335,4.0,-7.0
10001,2024-01-16,3,0,0,MUMBAI,MUMBAI Station,1065,1067.4968834638937,2.4968834638937407,94.61907445890266,2,1,17,17,4,11,11,0,11,11,5,192,0.0,-4.0
10001,2024-01-16,4,0,0,BSL,BSL Station,1361,1364.5366810405224,3.536681040522425,101.21569052736469,7,1,22,22,0,4,4,-7,11,8,4,1336,0.0,0.0
10001,2024-01-16,5,0,0,HDP,HDP Station,934,939.0730069062579,5.073006906257914,103.1359466232796,7,1,15,15,0,0,0,-4,11,6,3,323,1.0,1.0
10001,2024-01-16,6,0,0,AK,AK Station,995,998.8563357660397,3.8563357660397504,112.71131280361197,7,1,16,16,1,0,0,0,11,5,2,262,10.0,9.0
10001,2024-01-16,7,0,0,PUNE,PUNE Station,987,990.2642713830785,3.264271383078482,58.78885855125462,3,1,16,16,10,1,1,1,11,4,1,270,4.0,-6.0
10002,2024-01-17,1,1,0,MAS,MAS Station,91,95.63342589545105,4.633425895451049,0.0,7,2,1,1,24,0,0,0,24,24,11,1161,6.0,-18.0
10002,2024-01-17,2,0,0,MUMBAI,MUMBAI Station,891,896.7651206374808,5.7651206374808,63.8417140066125,5,2,14,14,6,24,24,24,24,24,10,361,0.0,-6.0
10002,2024-01-17,3,0,0,NGP,NGP Station,1132,1134.7964239265227,2.796423926522652,74.12989964654778,6,2,18,18,0,6,6,-18,24,15,9,120,4.0,4.0
10002,2024-01-17,4,0,0,HDP,HDP Station,624,626.4853064038439,2.485306403843853,64.78232091329909,7,2,10,10,4,0,0,-6,24,10,8,628,0.0,-4.0
10002,2024-01-17,5,0,0,AMI,AMI Station,561,562.2246402480832,1.2246402480831933,94.57940864460875,1,2,9,9,0,4,4,4,24,8,7,691,5.0,5.0
10002,2024-01-17,6,0,0,BSL,BSL Station,285,287.6048912326991,2.6048912326990905,79.01494185271396,5,2,4,4,5,0,0,-4,24,6,6,967,9.0,4.0
10002,2024-01-17,7,0,0,BPL,BPL Station,957,962.3146014777886,5.314601477788626,116.46527614302474,1,2,15,15,9,5,5,5,24,6,5,295,14.0,5.0
10002,2024-01-17,8,0,0,AK,AK Station,1084,1084.8462067732307,0.8462067732308407,109.45265733797582,2,2,18,18,14,9,9,4,24,6,4,168,16.0,2.0
10002,2024-01-17,9,0,0,JP,JP Station,327,330.97074404518054,3.970744045180566,92.52189655648058,1,2,5,5,16,14,14,5,24,7,3,925,15.0,-1.0
10003,2024-01-18,1,1,0,BSL,BSL Station,95,99.91649734368264,4.916497343682638,0.0,8,3,1,1,0,0,0,0,0,0,8,823,0.0,0.0
10003,2024-01-18,2,0,0,AMI,AMI Station,1111,1113.673478195159,2.6734781951591695,111.9755370397438,1,3,18,18,0,0,0,0,0,0,7,1247,4.0,4.0
10003,2024-01-18,3,0,0,NGP,NGP Station,859,862.3924345839587,3.3924345839587,79.5362381282578,1,3,14,14,4,0,0,0,0,0,6,59,0.0,-4.0
10003,2024-01-18,4,0,0,JP,JP Station,1151,1154.588062834599,3.588062834598894,87.50949504812631,5,3,19,19,0,4,4,4,4,1,5,1207,10.0,10.0
10003,2024-01-18,5,0,0,PUNE,PUNE Station,394,394.0,0.0,112.47083563383033,5,3,6,6,10,0,0,-4,4,1,4,524,11.0,1.0
10003,2024-01-18,6,0,0,HDP,HDP Station,1095,1096.9512801328622,1.951280132862124,89.82365907508385,2,3,18,18,11,10,10,10,10,2,3,1263,10.0,-1.0
10003,2024-01-18,7,0,0,MUMBAI,MUMBAI Station,731,733.7794139277468,2.779413927746792,107.77968588554307,6,3,12,12,10,11,11,1,11,4,2,187,4.0,-6.0
10003,2024-01-18,8,0,0,BPL,BPL Station,885,887.3500448896461,2.35004488964616,94.07645455054934,5,3,14,14,4,10,10,-1,11,5,1,33,4.0,0.0
